year,periodName,value,ID,area_code,laus_check
2005,December,4.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,November,4.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,October,4.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,September,4.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,August,4.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,July,5.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,June,4.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,May,4.6,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,April,4.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,March,4.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,February,5.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2005,January,5.3,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,December,4.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,November,4.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,October,5.0,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,September,5.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,August,5.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,July,5.9,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,June,5.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,May,5.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,April,5.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,March,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,February,6.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2004,January,6.7,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,December,5.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,November,6.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,October,6.2,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,September,6.4,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,August,6.5,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,July,6.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
2003,June,6.8,LAUMT363562000000003,MT3635620000000,NewYork-Newark-JerseyCity
